,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
0,29/02/2020,18:00,D.C. United,Colorado Rapids,1.0,2.0,Colorado Rapids,2.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Dick's Sporting Goods Park
1,29/02/2020,20:00,Impact de Montréal,New England Revolution,2.0,1.0,Impact de Montréal,2.0,"Olympic Stadium, Montréal, QC (Canada)",Olympic Stadium, Montréal, QC ,Canada,Stade Saputo
2,29/02/2020,20:30,Houston Dynamo,Los Angeles Galaxy,1.0,1.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
3,29/02/2020,22:30,San Jose Earthquakes,Toronto FC,2.0,2.0,,,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,
4,2. Round,2. Round,2. Round,2. Round,,,,,,,,,,
5,2. Round,23:00,FC Dallas,Philadelphia Union,2.0,0.0,FC Dallas,2.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
6,2. Round,23:00,Orlando City,Real Salt Lake,0.0,0.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
7,01/03/2020,01:00,Nashville SC,Atlanta United FC,1.0,2.0,Atlanta United FC,2.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Mercedes-Benz Stadium
8,01/03/2020,03:30,Vancouver Whitecaps,Sporting Kansas City,1.0,3.0,Sporting Kansas City,3.0,"BC Place, Vancouver, BC (Canada)",BC Place, Vancouver, BC ,Canada,Children's Mercy Park
9,01/03/2020,17:30,Columbus Crew,New York City FC,1.0,0.0,Columbus Crew,1.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
10,01/03/2020,18:00,New York RB,FC Cincinnati,3.0,2.0,New York RB,3.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
