,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
0,20/11/2021,19:30,Philadelphia Union,New York RB,1.0,0.0,Philadelphia Union,1.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
1,20/11/2021,22:00,Sporting Kansas City,Vancouver Whitecaps,3.0,1.0,Sporting Kansas City,3.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
2,21/11/2021,20:00,New York City FC,Atlanta United FC,2.0,0.0,New York City FC,2.0,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,Yankee Stadium
3,21/11/2021,22:30,Portland Timbers,Minnesota United FC,3.0,1.0,Portland Timbers,3.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
4,24/11/2021,01:00,Nashville SC,Orlando City,3.0,1.0,Nashville SC,3.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
5,24/11/2021,03:30,Seattle Sounders,Real Salt Lake,5.0,6.0,Real Salt Lake,6.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Rio Tinto Stadium
6,Conference Semifinals,Conference Semifinals,Conference Semifinals,Conference Semifinals,,,,,,,,,,
7,25/11/2021,21:30,Colorado Rapids,Portland Timbers,0.0,1.0,Portland Timbers,1.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Providence Park
8,28/11/2021,20:00,Sporting Kansas City,Real Salt Lake,1.0,2.0,Real Salt Lake,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Rio Tinto Stadium
9,28/11/2021,22:30,Philadelphia Union,Nashville SC,2.0,0.0,Philadelphia Union,2.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
10,01/12/2021,00:30,New England Revolution,New York City FC,3.0,5.0,New York City FC,5.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Yankee Stadium
11,Conference Finals,Conference Finals,Conference Finals,Conference Finals,,,,,,,,,,
12,04/12/2021,23:30,Portland Timbers,Real Salt Lake,2.0,0.0,Portland Timbers,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
13,05/12/2021,20:00,Philadelphia Union,New York City FC,1.0,2.0,New York City FC,2.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Yankee Stadium
14,Final,Final,Final,Final,,,,,,,,,,
15,11/12/2021,20:00,Portland Timbers,New York City FC,2.0,4.0,New York City FC,4.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Yankee Stadium
