,Unnamed: 0,Unnamed: 0.1,url,schedule,venue,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,winner_location
0,0,0,https://www.skysports.com/football/arsenal-vs-burnley/446508,"2:00pm, Sunday 23rd January 2022.",Emirates Stadium,Arsenal,Burnley,0,0,Burnley,0,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Burnley, Lancashire, England"
1,1,1,https://www.skysports.com/football/crystal-palace-vs-liverpool/446511,"2:00pm, Sunday 23rd January 2022.",Selhurst Park,C Palace,Liverpool,1,3,Liverpool,3,"Selhurst
London, SE25
England","Anfield, Liverpool, Merseyside, England"
2,2,2,https://www.skysports.com/football/leicester-city-vs-brighton-and-hove-albion/446514,"2:00pm, Sunday 23rd January 2022.",The King Power Stadium,Leicester,Brighton,1,1,Brighton,1,"Filbert Way
Leicester
LE2 7FL","Falmer, Brighton, East Sussex, England"
3,3,3,https://www.skysports.com/football/chelsea-vs-tottenham-hotspur/446510,"4:30pm, Sunday 23rd January 2022.",Stamford Bridge,Chelsea,Tottenham,2,0,Chelsea,2,"Fulham,
London, SW6
England","Fulham,
London, SW6
England"
4,4,4,https://www.skysports.com/football/everton-vs-aston-villa/446512,"12:30pm, Saturday 22nd January 2022.",Goodison Park,Everton,A Villa,0,1,A Villa,1,"Goodison Road
Walton, Liverpool, England","Trinity Road, Birmingham B6 6HE"
5,5,5,https://www.skysports.com/football/brentford-vs-wolverhampton-wanderers/446509,"3:00pm, Saturday 22nd January 2022.",Brentford Community Stadium,Brentford,Wolves,1,2,Wolves,2,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","Waterloo Road, Wolverhampton"
6,6,6,https://www.skysports.com/football/leeds-united-vs-newcastle-united/446513,"3:00pm, Saturday 22nd January 2022.",Elland Road,Leeds,Newcastle,0,1,Newcastle,1,"Elland Road, Beeston, Leeds, England LS11 0ES",Newcastle upon Tyne NE1 4ST
7,7,7,https://www.skysports.com/football/manchester-united-vs-west-ham-united/446515,"3:00pm, Saturday 22nd January 2022.",Old Trafford,Man Utd,West Ham,1,0,Man Utd,1,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
8,8,8,https://www.skysports.com/football/southampton-vs-manchester-city/446516,"5:30pm, Saturday 22nd January 2022.",St. Mary's Stadium,So'ton,Man City,1,1,Man City,1,"Britannia Rd, Southampton, England","Etihad Campus
Manchester
M11 3FF"
9,9,9,https://www.skysports.com/football/watford-vs-norwich-city/446517,"8:00pm, Friday 21st January 2022.",Vicarage Road,Watford,Norwich,0,3,Norwich,3,"Vicarage Road
Watford
WD18 0ER","Norwich, Norfolk, England"
