name,address,Latitude,Longitude,geometry,city,city_candidates
Amex Stadium,"American Express Community Stadium, Village Way, Falmer, Stanmer, Brighton and Hove, South East England, England, BN1 9BL, United Kingdom",50.86154985,-0.08486804679264488,POINT (-0.0848680467926449 50.86154985),Brighton and Hove,Brighton and Hove
Anfield Stadium,"Anfield Stadium, Anfield Road, Anfield, Liverpool, North West England, England, L4 0TH, United Kingdom",53.4308358,-2.9609095414165294,POINT (-2.9609095414165294 53.4308358),Liverpool,Liverpool
Bramall Lane Stadium,"Bramall Lane Stadium, Bramall Lane, Highfield, Sheffield, Yorkshire and the Humber, England, S2 4SU, United Kingdom",53.3703213,-1.470740614075825,POINT (-1.470740614075825 53.3703213),Sheffield,"['Sheffield', 'York']"
Brentford Community Stadium,"Brentford Community Stadium, Lionel Road South, Grove Park, Brentford, London, Greater London, England, TW8 0NT, United Kingdom",51.49071295,-0.2889802136183117,POINT (-0.2889802136183117 51.49071295),London,London
Carrow Road Stadium,"Carrow Road Stadium, Koblenz Avenue, Lakenham, Norwich, Norfolk, East of England, England, NR1 1JE, United Kingdom",52.6219835,1.3092041998298496,POINT (1.3092041998298496 52.6219835),Norfolk,"['Norfolk', 'Norwich']"
Craven Cottage Stadium,"Craven Cottage, Stevenage Road, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 6HH, United Kingdom",51.4749491,-0.22179448481912376,POINT (-0.2217944848191238 51.4749491),London,London
Elland Road Stadium,"Elland Road Stadium, Elland Road, Beeston, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS11 0ES, United Kingdom",53.7778981,-1.5721266910585527,POINT (-1.5721266910585527 53.7778981),Leeds,"['Leeds', 'York']"
Emirates Stadium,"Emirates Stadium, 75, Drayton Park, Finsbury Park, London Borough of Islington, London, Greater London, England, N5 1BU, United Kingdom",51.55504035,-0.1083996708672374,POINT (-0.1083996708672374 51.55504035),London,London
Etihad Stadium,"Etihad Stadium, Joe Mercer Way, Beswick, Manchester, Greater Manchester, North West England, England, M11 3FF, United Kingdom",53.48309105,-2.2002520023433307,POINT (-2.2002520023433307 53.48309105),Manchester,Manchester
Goodison Park,"Goodison Park, Goodison Road, Walton, Liverpool, North West England, England, L4 4EL, United Kingdom",53.4387191,-2.9664539939087415,POINT (-2.9664539939087415 53.4387191),Liverpool,Liverpool
Hawthorns Stadium,"Alton Football Club, Anstey Lane, Anstey, Alton, Holybourne, East Hampshire, Hampshire, South East England, England, GU34 2NB, United Kingdom",51.158152650000005,-0.965020745263474,POINT (-0.965020745263474 51.158152650000005),East Hampshire,"['East Hampshire', 'Hampshire']"
King Power Stadium,"King Power Stadium, Filbert Way, Bede Island, Leicester, City of Leicester, East Midlands, England, LE2 7FL, United Kingdom",52.62039695,-1.1423352051152724,POINT (-1.1423352051152724 52.62039695),Leicester,Leicester
London Stadium,"London Stadium, Bridge 3, Fish Island, Bow, London Borough of Tower Hamlets, London, Greater London, England, E20 2ST, United Kingdom",51.53862065,-0.016623759002470637,POINT (-0.0166237590024706 51.53862065),London,London
