,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,"Bournemouth, Christchurch and Poole",,,,237.0
1,2022-03-01,"Bournemouth, Christchurch and Poole",137.0,137.0,112215.0,281.0
2,2022-02-28,"Bournemouth, Christchurch and Poole",253.0,99.0,112078.0,548.0
3,2022-02-27,"Bournemouth, Christchurch and Poole",209.0,0.0,111825.0,0.0
4,2022-02-26,"Bournemouth, Christchurch and Poole",157.0,2.0,111616.0,0.0
5,2022-02-25,"Bournemouth, Christchurch and Poole",164.0,0.0,111459.0,203.0
6,2022-02-24,"Bournemouth, Christchurch and Poole",214.0,0.0,111295.0,229.0
7,2022-02-23,"Bournemouth, Christchurch and Poole",232.0,0.0,111081.0,295.0
8,2022-02-22,"Bournemouth, Christchurch and Poole",277.0,-1.0,110849.0,228.0
9,2022-02-21,"Bournemouth, Christchurch and Poole",247.0,,110572.0,251.0
10,2022-02-20,"Bournemouth, Christchurch and Poole",236.0,,110325.0,200.0
11,2022-02-19,"Bournemouth, Christchurch and Poole",253.0,,110089.0,253.0
12,2022-02-18,"Bournemouth, Christchurch and Poole",194.0,,109836.0,319.0
13,2022-02-17,"Bournemouth, Christchurch and Poole",320.0,,109642.0,341.0
14,2022-02-16,"Bournemouth, Christchurch and Poole",334.0,,109322.0,457.0
15,2022-02-15,"Bournemouth, Christchurch and Poole",391.0,,108988.0,365.0
16,2022-02-14,"Bournemouth, Christchurch and Poole",429.0,,108597.0,370.0
17,2022-02-13,"Bournemouth, Christchurch and Poole",364.0,,108168.0,279.0
18,2022-02-12,"Bournemouth, Christchurch and Poole",308.0,,107804.0,333.0
19,2022-02-11,"Bournemouth, Christchurch and Poole",317.0,,107496.0,467.0
20,2022-02-10,"Bournemouth, Christchurch and Poole",412.0,,107179.0,487.0
21,2022-02-09,"Bournemouth, Christchurch and Poole",481.0,,106767.0,518.0
22,2022-02-08,"Bournemouth, Christchurch and Poole",511.0,,106286.0,504.0
23,2022-02-07,"Bournemouth, Christchurch and Poole",518.0,,105775.0,381.0
24,2022-02-06,"Bournemouth, Christchurch and Poole",421.0,,105257.0,426.0
25,2022-02-05,"Bournemouth, Christchurch and Poole",376.0,,104836.0,365.0
26,2022-02-04,"Bournemouth, Christchurch and Poole",420.0,,104460.0,556.0
27,2022-02-03,"Bournemouth, Christchurch and Poole",487.0,,104040.0,571.0
28,2022-02-02,"Bournemouth, Christchurch and Poole",549.0,,103553.0,613.0
29,2022-02-01,"Bournemouth, Christchurch and Poole",585.0,,103004.0,775.0
30,2022-01-31,"Bournemouth, Christchurch and Poole",691.0,,102419.0,5482.0
31,2022-01-30,"Bournemouth, Christchurch and Poole",544.0,,101728.0,427.0
32,2022-01-29,"Bournemouth, Christchurch and Poole",514.0,,101184.0,475.0
33,2022-01-28,"Bournemouth, Christchurch and Poole",544.0,,100670.0,647.0
34,2022-01-27,"Bournemouth, Christchurch and Poole",634.0,,100126.0,608.0
35,2022-01-26,"Bournemouth, Christchurch and Poole",714.0,,99492.0,659.0
36,2022-01-25,"Bournemouth, Christchurch and Poole",701.0,,98778.0,633.0
37,2022-01-24,"Bournemouth, Christchurch and Poole",776.0,,98077.0,600.0
38,2022-01-23,"Bournemouth, Christchurch and Poole",619.0,,97301.0,460.0
39,2022-01-22,"Bournemouth, Christchurch and Poole",524.0,,96682.0,451.0
40,2022-01-21,"Bournemouth, Christchurch and Poole",484.0,,96158.0,541.0
