,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Burnley,,,,23.0
1,2022-03-01,Burnley,11.0,11.0,30462.0,14.0
2,2022-02-28,Burnley,20.0,11.0,30451.0,39.0
3,2022-02-27,Burnley,15.0,0.0,30431.0,0.0
4,2022-02-26,Burnley,10.0,1.0,30416.0,0.0
5,2022-02-25,Burnley,16.0,,30406.0,15.0
6,2022-02-24,Burnley,8.0,,30390.0,25.0
7,2022-02-23,Burnley,20.0,,30382.0,25.0
8,2022-02-22,Burnley,26.0,,30362.0,35.0
9,2022-02-21,Burnley,37.0,,30336.0,24.0
10,2022-02-20,Burnley,26.0,,30299.0,21.0
11,2022-02-19,Burnley,20.0,,30273.0,22.0
12,2022-02-18,Burnley,18.0,,30253.0,33.0
13,2022-02-17,Burnley,27.0,,30235.0,21.0
14,2022-02-16,Burnley,29.0,,30208.0,32.0
15,2022-02-15,Burnley,31.0,,30179.0,30.0
16,2022-02-14,Burnley,27.0,,30148.0,14.0
17,2022-02-13,Burnley,21.0,,30121.0,21.0
18,2022-02-12,Burnley,17.0,,30100.0,21.0
19,2022-02-11,Burnley,24.0,,30083.0,27.0
20,2022-02-10,Burnley,26.0,,30059.0,42.0
21,2022-02-09,Burnley,32.0,,30033.0,42.0
22,2022-02-08,Burnley,43.0,,30001.0,47.0
23,2022-02-07,Burnley,49.0,,29958.0,39.0
24,2022-02-06,Burnley,45.0,,29909.0,55.0
25,2022-02-05,Burnley,41.0,,29864.0,41.0
26,2022-02-04,Burnley,42.0,,29823.0,69.0
27,2022-02-03,Burnley,49.0,,29781.0,81.0
28,2022-02-02,Burnley,67.0,,29732.0,74.0
29,2022-02-01,Burnley,96.0,,29665.0,88.0
30,2022-01-31,Burnley,83.0,,29569.0,2304.0
31,2022-01-30,Burnley,79.0,,29486.0,42.0
32,2022-01-29,Burnley,57.0,,29407.0,67.0
33,2022-01-28,Burnley,67.0,,29350.0,88.0
34,2022-01-27,Burnley,106.0,,29283.0,126.0
35,2022-01-26,Burnley,127.0,,29177.0,98.0
36,2022-01-25,Burnley,116.0,,29050.0,130.0
37,2022-01-24,Burnley,148.0,,28934.0,97.0
38,2022-01-23,Burnley,114.0,,28786.0,83.0
39,2022-01-22,Burnley,114.0,,28672.0,96.0
40,2022-01-21,Burnley,123.0,,28558.0,139.0
41,2022-01-20,Burnley,120.0,,28435.0,158.0
42,2022-01-19,Burnley,173.0,,28315.0,175.0
43,2022-01-18,Burnley,213.0,,28142.0,153.0
44,2022-01-17,Burnley,207.0,,27929.0,148.0
45,2022-01-16,Burnley,171.0,,27722.0,87.0
46,2022-01-15,Burnley,112.0,,27551.0,140.0
47,2022-01-14,Burnley,143.0,,27439.0,169.0
48,2022-01-13,Burnley,185.0,,27296.0,196.0
49,2022-01-12,Burnley,202.0,,27111.0,308.0
50,2022-01-11,Burnley,241.0,,26909.0,364.0
51,2022-01-10,Burnley,302.0,,26668.0,312.0
52,2022-01-09,Burnley,195.0,,26366.0,347.0
53,2022-01-08,Burnley,160.0,,26171.0,218.0
54,2022-01-07,Burnley,248.0,,26011.0,283.0
55,2022-01-06,Burnley,392.0,,25763.0,419.0
56,2022-01-05,Burnley,508.0,,25371.0,284.0
57,2022-01-04,Burnley,663.0,,24863.0,305.0
58,2022-01-03,Burnley,453.0,,24200.0,458.0
59,2022-01-02,Burnley,365.0,,23747.0,205.0
60,2022-01-01,Burnley,206.0,,23382.0,374.0
61,2021-12-31,Burnley,419.0,,23176.0,235.0
62,2021-12-30,Burnley,455.0,,22757.0,253.0
63,2021-12-29,Burnley,523.0,,22302.0,251.0
64,2021-12-28,Burnley,346.0,,21779.0,203.0
65,2021-12-27,Burnley,303.0,,21433.0,195.0
66,2021-12-26,Burnley,200.0,,21130.0,103.0
67,2021-12-25,Burnley,96.0,,20930.0,119.0
68,2021-12-24,Burnley,200.0,,20834.0,160.0
69,2021-12-23,Burnley,215.0,,20634.0,128.0
70,2021-12-22,Burnley,203.0,,20419.0,109.0
71,2021-12-21,Burnley,171.0,,20216.0,76.0
72,2021-12-20,Burnley,139.0,,20045.0,69.0
73,2021-12-19,Burnley,79.0,,19906.0,66.0
74,2021-12-18,Burnley,69.0,,19827.0,50.0
75,2021-12-17,Burnley,80.0,,19758.0,66.0
76,2021-12-16,Burnley,57.0,,19678.0,76.0
77,2021-12-15,Burnley,80.0,,19621.0,62.0
78,2021-12-14,Burnley,89.0,,19541.0,45.0
79,2021-12-13,Burnley,79.0,,19452.0,29.0
80,2021-12-12,Burnley,31.0,,19373.0,44.0
81,2021-12-11,Burnley,32.0,,19342.0,59.0
82,2021-12-10,Burnley,44.0,,19310.0,38.0
83,2021-12-09,Burnley,60.0,,19266.0,52.0
84,2021-12-08,Burnley,37.0,,19206.0,43.0
85,2021-12-07,Burnley,53.0,,19169.0,38.0
86,2021-12-06,Burnley,77.0,,19116.0,26.0
87,2021-12-05,Burnley,17.0,,19039.0,46.0
88,2021-12-04,Burnley,38.0,,19022.0,51.0
89,2021-12-03,Burnley,43.0,,18984.0,43.0
90,2021-12-02,Burnley,49.0,,18941.0,50.0
91,2021-12-01,Burnley,52.0,,18892.0,33.0
92,2021-11-30,Burnley,59.0,,18840.0,22.0
93,2021-11-29,Burnley,31.0,,18781.0,22.0
94,2021-11-28,Burnley,25.0,,18750.0,31.0
95,2021-11-27,Burnley,24.0,,18725.0,56.0
96,2021-11-26,Burnley,33.0,,18701.0,42.0
97,2021-11-25,Burnley,52.0,,18668.0,56.0
98,2021-11-24,Burnley,50.0,,18616.0,52.0
99,2021-11-23,Burnley,50.0,,18566.0,37.0
100,2021-11-22,Burnley,60.0,,18516.0,46.0
101,2021-11-21,Burnley,38.0,,18456.0,29.0
102,2021-11-20,Burnley,33.0,,18418.0,41.0
103,2021-11-19,Burnley,40.0,,18385.0,44.0
104,2021-11-18,Burnley,46.0,,18345.0,43.0
105,2021-11-17,Burnley,35.0,,18299.0,48.0
106,2021-11-16,Burnley,51.0,,18264.0,29.0
107,2021-11-15,Burnley,55.0,,18213.0,27.0
108,2021-11-14,Burnley,24.0,,18158.0,34.0
109,2021-11-13,Burnley,37.0,,18134.0,34.0
110,2021-11-12,Burnley,42.0,,18097.0,36.0
111,2021-11-11,Burnley,22.0,,18055.0,53.0
112,2021-11-10,Burnley,50.0,,18033.0,44.0
113,2021-11-09,Burnley,44.0,,17983.0,47.0
114,2021-11-08,Burnley,54.0,,17939.0,34.0
115,2021-11-07,Burnley,38.0,,17885.0,32.0
116,2021-11-06,Burnley,36.0,,17847.0,33.0
117,2021-11-05,Burnley,30.0,,17811.0,29.0
118,2021-11-04,Burnley,33.0,,17781.0,37.0
119,2021-11-03,Burnley,34.0,,17748.0,51.0
120,2021-11-02,Burnley,40.0,,17714.0,35.0
