,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,East Hampshire,,,,78.0
1,2022-03-01,East Hampshire,53.0,53.0,29727.0,63.0
2,2022-02-28,East Hampshire,69.0,25.0,29674.0,167.0
3,2022-02-27,East Hampshire,68.0,,29605.0,0.0
4,2022-02-26,East Hampshire,52.0,,29537.0,0.0
5,2022-02-25,East Hampshire,46.0,,29485.0,57.0
6,2022-02-24,East Hampshire,59.0,,29439.0,54.0
7,2022-02-23,East Hampshire,49.0,,29380.0,92.0
8,2022-02-22,East Hampshire,74.0,,29331.0,74.0
9,2022-02-21,East Hampshire,90.0,,29257.0,66.0
10,2022-02-20,East Hampshire,59.0,,29167.0,48.0
11,2022-02-19,East Hampshire,61.0,,29108.0,77.0
12,2022-02-18,East Hampshire,52.0,,29047.0,106.0
13,2022-02-17,East Hampshire,95.0,,28995.0,129.0
14,2022-02-16,East Hampshire,117.0,,28900.0,144.0
15,2022-02-15,East Hampshire,139.0,,28783.0,108.0
16,2022-02-14,East Hampshire,141.0,,28644.0,93.0
17,2022-02-13,East Hampshire,95.0,,28503.0,107.0
18,2022-02-12,East Hampshire,88.0,,28408.0,93.0
19,2022-02-11,East Hampshire,101.0,,28320.0,156.0
20,2022-02-10,East Hampshire,132.0,,28219.0,165.0
21,2022-02-09,East Hampshire,151.0,,28087.0,188.0
22,2022-02-08,East Hampshire,152.0,,27936.0,165.0
23,2022-02-07,East Hampshire,215.0,,27784.0,147.0
24,2022-02-06,East Hampshire,151.0,,27569.0,178.0
25,2022-02-05,East Hampshire,134.0,,27418.0,166.0
26,2022-02-04,East Hampshire,193.0,,27284.0,206.0
27,2022-02-03,East Hampshire,203.0,,27091.0,227.0
28,2022-02-02,East Hampshire,210.0,,26888.0,239.0
29,2022-02-01,East Hampshire,221.0,,26678.0,274.0
30,2022-01-31,East Hampshire,250.0,,26457.0,1118.0
31,2022-01-30,East Hampshire,208.0,,26207.0,204.0
32,2022-01-29,East Hampshire,215.0,,25999.0,189.0
33,2022-01-28,East Hampshire,223.0,,25784.0,269.0
34,2022-01-27,East Hampshire,253.0,,25561.0,244.0
35,2022-01-26,East Hampshire,277.0,,25308.0,253.0
36,2022-01-25,East Hampshire,254.0,,25031.0,245.0
37,2022-01-24,East Hampshire,293.0,,24777.0,212.0
38,2022-01-23,East Hampshire,256.0,,24484.0,164.0
39,2022-01-22,East Hampshire,167.0,,24228.0,190.0
40,2022-01-21,East Hampshire,205.0,,24061.0,201.0
41,2022-01-20,East Hampshire,205.0,,23856.0,237.0
42,2022-01-19,East Hampshire,238.0,,23651.0,202.0
43,2022-01-18,East Hampshire,212.0,,23413.0,170.0
44,2022-01-17,East Hampshire,232.0,,23201.0,181.0
45,2022-01-16,East Hampshire,199.0,,22969.0,135.0
46,2022-01-15,East Hampshire,123.0,,22770.0,139.0
47,2022-01-14,East Hampshire,145.0,,22647.0,181.0
48,2022-01-13,East Hampshire,165.0,,22502.0,169.0
49,2022-01-12,East Hampshire,155.0,,22337.0,188.0
50,2022-01-11,East Hampshire,194.0,,22182.0,141.0
51,2022-01-10,East Hampshire,208.0,,21988.0,184.0
52,2022-01-09,East Hampshire,146.0,,21780.0,142.0
53,2022-01-08,East Hampshire,104.0,,21634.0,240.0
54,2022-01-07,East Hampshire,153.0,,21530.0,283.0
55,2022-01-06,East Hampshire,201.0,,21377.0,207.0
56,2022-01-05,East Hampshire,253.0,,21176.0,217.0
57,2022-01-04,East Hampshire,378.0,,20923.0,204.0
58,2022-01-03,East Hampshire,279.0,,20545.0,233.0
59,2022-01-02,East Hampshire,191.0,,20266.0,250.0
60,2022-01-01,East Hampshire,157.0,,20075.0,214.0
61,2021-12-31,East Hampshire,205.0,,19918.0,243.0
62,2021-12-30,East Hampshire,285.0,,19713.0,257.0
63,2021-12-29,East Hampshire,350.0,,19428.0,191.0
64,2021-12-28,East Hampshire,268.0,,19078.0,165.0
65,2021-12-27,East Hampshire,239.0,,18810.0,105.0
66,2021-12-26,East Hampshire,147.0,,18571.0,228.0
67,2021-12-25,East Hampshire,94.0,,18424.0,186.0
68,2021-12-24,East Hampshire,212.0,,18330.0,198.0
69,2021-12-23,East Hampshire,203.0,,18118.0,200.0
70,2021-12-22,East Hampshire,210.0,,17915.0,178.0
71,2021-12-21,East Hampshire,248.0,,17705.0,155.0
72,2021-12-20,East Hampshire,219.0,,17457.0,137.0
73,2021-12-19,East Hampshire,151.0,,17238.0,153.0
74,2021-12-18,East Hampshire,152.0,,17087.0,162.0
75,2021-12-17,East Hampshire,153.0,,16935.0,191.0
76,2021-12-16,East Hampshire,153.0,,16782.0,145.0
77,2021-12-15,East Hampshire,201.0,,16629.0,140.0
78,2021-12-14,East Hampshire,171.0,,16428.0,92.0
79,2021-12-13,East Hampshire,130.0,,16257.0,122.0
80,2021-12-12,East Hampshire,93.0,,16127.0,84.0
81,2021-12-11,East Hampshire,101.0,,16034.0,101.0
82,2021-12-10,East Hampshire,105.0,,15933.0,114.0
83,2021-12-09,East Hampshire,102.0,,15828.0,114.0
84,2021-12-08,East Hampshire,132.0,,15726.0,90.0
85,2021-12-07,East Hampshire,117.0,,15594.0,96.0
86,2021-12-06,East Hampshire,104.0,,15477.0,93.0
87,2021-12-05,East Hampshire,91.0,,15373.0,76.0
88,2021-12-04,East Hampshire,68.0,,15282.0,93.0
89,2021-12-03,East Hampshire,108.0,,15214.0,129.0
90,2021-12-02,East Hampshire,108.0,,15106.0,133.0
91,2021-12-01,East Hampshire,129.0,,14998.0,106.0
92,2021-11-30,East Hampshire,112.0,,14869.0,72.0
93,2021-11-29,East Hampshire,112.0,,14757.0,105.0
94,2021-11-28,East Hampshire,81.0,,14645.0,89.0
95,2021-11-27,East Hampshire,93.0,,14564.0,93.0
96,2021-11-26,East Hampshire,97.0,,14471.0,113.0
97,2021-11-25,East Hampshire,93.0,,14374.0,132.0
98,2021-11-24,East Hampshire,117.0,,14281.0,86.0
99,2021-11-23,East Hampshire,119.0,,14164.0,96.0
100,2021-11-22,East Hampshire,118.0,,14045.0,108.0
101,2021-11-21,East Hampshire,101.0,,13927.0,107.0
102,2021-11-20,East Hampshire,85.0,,13826.0,114.0
103,2021-11-19,East Hampshire,111.0,,13741.0,135.0
104,2021-11-18,East Hampshire,97.0,,13630.0,144.0
105,2021-11-17,East Hampshire,105.0,,13533.0,70.0
106,2021-11-16,East Hampshire,128.0,,13428.0,95.0
107,2021-11-15,East Hampshire,178.0,,13300.0,110.0
108,2021-11-14,East Hampshire,92.0,,13122.0,76.0
109,2021-11-13,East Hampshire,100.0,,13030.0,73.0
110,2021-11-12,East Hampshire,78.0,,12930.0,79.0
111,2021-11-11,East Hampshire,78.0,,12852.0,78.0
112,2021-11-10,East Hampshire,76.0,,12774.0,71.0
113,2021-11-09,East Hampshire,68.0,,12698.0,52.0
114,2021-11-08,East Hampshire,79.0,,12630.0,47.0
115,2021-11-07,East Hampshire,47.0,,12551.0,64.0
116,2021-11-06,East Hampshire,44.0,,12504.0,42.0
117,2021-11-05,East Hampshire,68.0,,12460.0,62.0
118,2021-11-04,East Hampshire,56.0,,12392.0,66.0
119,2021-11-03,East Hampshire,62.0,,12336.0,94.0
120,2021-11-02,East Hampshire,71.0,,12274.0,71.0
121,2021-11-01,East Hampshire,93.0,,12203.0,84.0
122,2021-10-31,East Hampshire,76.0,,12110.0,85.0
