,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Leeds,,,,323.0
1,2022-03-01,Leeds,213.0,213.0,245398.0,321.0
2,2022-02-28,Leeds,288.0,97.0,245185.0,728.0
3,2022-02-27,Leeds,258.0,11.0,244897.0,0.0
4,2022-02-26,Leeds,187.0,2.0,244639.0,0.0
5,2022-02-25,Leeds,208.0,0.0,244452.0,242.0
6,2022-02-24,Leeds,263.0,2.0,244244.0,288.0
7,2022-02-23,Leeds,293.0,-1.0,243981.0,297.0
8,2022-02-22,Leeds,303.0,-2.0,243688.0,352.0
9,2022-02-21,Leeds,351.0,0.0,243385.0,259.0
10,2022-02-20,Leeds,305.0,0.0,243034.0,327.0
11,2022-02-19,Leeds,246.0,0.0,242729.0,358.0
12,2022-02-18,Leeds,336.0,0.0,242483.0,384.0
13,2022-02-17,Leeds,387.0,0.0,242147.0,503.0
14,2022-02-16,Leeds,438.0,0.0,241760.0,481.0
15,2022-02-15,Leeds,497.0,0.0,241322.0,414.0
16,2022-02-14,Leeds,509.0,0.0,240825.0,417.0
17,2022-02-13,Leeds,368.0,0.0,240316.0,355.0
18,2022-02-12,Leeds,321.0,0.0,239948.0,423.0
19,2022-02-11,Leeds,372.0,0.0,239627.0,569.0
20,2022-02-10,Leeds,464.0,0.0,239255.0,690.0
21,2022-02-09,Leeds,629.0,0.0,238791.0,637.0
22,2022-02-08,Leeds,625.0,0.0,238162.0,600.0
23,2022-02-07,Leeds,729.0,0.0,237537.0,568.0
24,2022-02-06,Leeds,589.0,0.0,236808.0,619.0
25,2022-02-05,Leeds,530.0,0.0,236219.0,712.0
26,2022-02-04,Leeds,642.0,0.0,235689.0,853.0
27,2022-02-03,Leeds,736.0,0.0,235047.0,976.0
28,2022-02-02,Leeds,930.0,0.0,234311.0,969.0
29,2022-02-01,Leeds,929.0,0.0,233381.0,1280.0
30,2022-01-31,Leeds,1135.0,0.0,232452.0,14185.0
31,2022-01-30,Leeds,910.0,0.0,231317.0,807.0
32,2022-01-29,Leeds,760.0,0.0,230407.0,741.0
33,2022-01-28,Leeds,900.0,0.0,229647.0,982.0
34,2022-01-27,Leeds,1074.0,0.0,228747.0,1034.0
35,2022-01-26,Leeds,1199.0,0.0,227673.0,1263.0
36,2022-01-25,Leeds,1310.0,0.0,226474.0,1243.0
37,2022-01-24,Leeds,1632.0,0.0,225164.0,1076.0
38,2022-01-23,Leeds,1330.0,1.0,223532.0,1100.0
39,2022-01-22,Leeds,1096.0,,222202.0,1197.0
40,2022-01-21,Leeds,1169.0,,221106.0,1247.0
41,2022-01-20,Leeds,1307.0,,219937.0,1504.0
42,2022-01-19,Leeds,1664.0,,218630.0,1467.0
43,2022-01-18,Leeds,1717.0,,216966.0,1452.0
44,2022-01-17,Leeds,1937.0,,215249.0,1334.0
45,2022-01-16,Leeds,1516.0,,213312.0,1182.0
46,2022-01-15,Leeds,1197.0,,211796.0,1354.0
47,2022-01-14,Leeds,1344.0,,210599.0,1289.0
48,2022-01-13,Leeds,1588.0,,209255.0,1626.0
49,2022-01-12,Leeds,1610.0,,207667.0,2074.0
50,2022-01-11,Leeds,1821.0,,206057.0,2706.0
51,2022-01-10,Leeds,2050.0,,204236.0,2386.0
52,2022-01-09,Leeds,1490.0,,202186.0,2154.0
53,2022-01-08,Leeds,1423.0,,200696.0,1578.0
54,2022-01-07,Leeds,1934.0,,199273.0,2341.0
55,2022-01-06,Leeds,2396.0,,197339.0,2026.0
56,2022-01-05,Leeds,3165.0,,194943.0,1951.0
57,2022-01-04,Leeds,3653.0,,191778.0,1842.0
58,2022-01-03,Leeds,3390.0,,188125.0,2492.0
59,2022-01-02,Leeds,2244.0,,184735.0,2369.0
60,2022-01-01,Leeds,1575.0,,182491.0,2038.0
61,2021-12-31,Leeds,2278.0,,180916.0,2313.0
62,2021-12-30,Leeds,2770.0,,178638.0,1636.0
63,2021-12-29,Leeds,3549.0,,175868.0,1985.0
64,2021-12-28,Leeds,2569.0,,172319.0,1646.0
65,2021-12-27,Leeds,2136.0,,169750.0,2085.0
