,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Leicester,,,,125.0
1,2022-03-01,Leicester,61.0,61.0,111697.0,90.0
2,2022-02-28,Leicester,114.0,63.0,111636.0,206.0
3,2022-02-27,Leicester,85.0,2.0,111522.0,0.0
4,2022-02-26,Leicester,46.0,0.0,111437.0,0.0
5,2022-02-25,Leicester,64.0,-1.0,111391.0,108.0
6,2022-02-24,Leicester,83.0,,111327.0,87.0
7,2022-02-23,Leicester,106.0,,111244.0,117.0
8,2022-02-22,Leicester,100.0,,111138.0,132.0
9,2022-02-21,Leicester,150.0,,111038.0,117.0
10,2022-02-20,Leicester,113.0,,110888.0,94.0
11,2022-02-19,Leicester,95.0,,110775.0,119.0
12,2022-02-18,Leicester,119.0,,110680.0,126.0
13,2022-02-17,Leicester,106.0,,110561.0,139.0
14,2022-02-16,Leicester,137.0,,110455.0,169.0
15,2022-02-15,Leicester,138.0,,110318.0,110.0
16,2022-02-14,Leicester,162.0,,110180.0,98.0
17,2022-02-13,Leicester,88.0,,110018.0,116.0
18,2022-02-12,Leicester,92.0,,109930.0,130.0
19,2022-02-11,Leicester,121.0,,109838.0,213.0
20,2022-02-10,Leicester,148.0,,109717.0,189.0
21,2022-02-09,Leicester,200.0,,109569.0,230.0
22,2022-02-08,Leicester,213.0,,109369.0,204.0
23,2022-02-07,Leicester,253.0,,109156.0,190.0
24,2022-02-06,Leicester,176.0,,108903.0,186.0
25,2022-02-05,Leicester,169.0,,108727.0,246.0
26,2022-02-04,Leicester,215.0,,108558.0,378.0
27,2022-02-03,Leicester,260.0,,108343.0,398.0
28,2022-02-02,Leicester,384.0,,108083.0,420.0
29,2022-02-01,Leicester,407.0,,107699.0,649.0
30,2022-01-31,Leicester,487.0,,107292.0,7331.0
31,2022-01-30,Leicester,371.0,,106805.0,308.0
32,2022-01-29,Leicester,319.0,,106434.0,394.0
33,2022-01-28,Leicester,392.0,,106115.0,468.0
34,2022-01-27,Leicester,462.0,,105723.0,464.0
35,2022-01-26,Leicester,552.0,,105261.0,527.0
36,2022-01-25,Leicester,600.0,,104709.0,452.0
37,2022-01-24,Leicester,686.0,,104109.0,403.0
38,2022-01-23,Leicester,499.0,,103423.0,443.0
39,2022-01-22,Leicester,415.0,,102924.0,454.0
40,2022-01-21,Leicester,518.0,,102509.0,591.0
41,2022-01-20,Leicester,616.0,,101991.0,617.0
42,2022-01-19,Leicester,712.0,,101375.0,681.0
43,2022-01-18,Leicester,755.0,,100663.0,594.0
44,2022-01-17,Leicester,835.0,,99908.0,501.0
45,2022-01-16,Leicester,628.0,,99073.0,440.0
46,2022-01-15,Leicester,489.0,,98445.0,519.0
47,2022-01-14,Leicester,544.0,,97956.0,615.0
48,2022-01-13,Leicester,601.0,,97412.0,639.0
49,2022-01-12,Leicester,710.0,,96811.0,952.0
50,2022-01-11,Leicester,810.0,,96101.0,618.0
51,2022-01-10,Leicester,946.0,,95291.0,782.0
52,2022-01-09,Leicester,638.0,,94345.0,836.0
53,2022-01-08,Leicester,610.0,,93707.0,992.0
54,2022-01-07,Leicester,810.0,,93097.0,1115.0
55,2022-01-06,Leicester,1209.0,,92287.0,1163.0
56,2022-01-05,Leicester,1366.0,,91078.0,1002.0
57,2022-01-04,Leicester,1738.0,,89712.0,998.0
58,2022-01-03,Leicester,1348.0,,87974.0,854.0
59,2022-01-02,Leicester,984.0,,86626.0,696.0
60,2022-01-01,Leicester,743.0,,85642.0,1087.0
61,2021-12-31,Leicester,987.0,,84899.0,1234.0
62,2021-12-30,Leicester,1331.0,,83912.0,780.0
63,2021-12-29,Leicester,1497.0,,82581.0,711.0
64,2021-12-28,Leicester,1083.0,,81084.0,570.0
65,2021-12-27,Leicester,907.0,,80001.0,480.0
66,2021-12-26,Leicester,583.0,,79094.0,712.0
67,2021-12-25,Leicester,391.0,,78511.0,533.0
68,2021-12-24,Leicester,726.0,,78120.0,612.0
69,2021-12-23,Leicester,765.0,,77394.0,538.0
70,2021-12-22,Leicester,814.0,,76629.0,471.0
71,2021-12-21,Leicester,711.0,,75815.0,381.0
72,2021-12-20,Leicester,569.0,,75104.0,359.0
