,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Liverpool,,,,239.0
1,2022-03-01,Liverpool,116.0,116.0,157382.0,183.0
2,2022-02-28,Liverpool,234.0,115.0,157266.0,511.0
3,2022-02-27,Liverpool,139.0,6.0,157032.0,0.0
4,2022-02-26,Liverpool,131.0,1.0,156893.0,0.0
5,2022-02-25,Liverpool,180.0,0.0,156762.0,156.0
6,2022-02-24,Liverpool,184.0,1.0,156582.0,227.0
7,2022-02-23,Liverpool,185.0,,156398.0,158.0
8,2022-02-22,Liverpool,202.0,,156213.0,237.0
9,2022-02-21,Liverpool,214.0,,156011.0,171.0
10,2022-02-20,Liverpool,192.0,,155797.0,144.0
11,2022-02-19,Liverpool,152.0,,155605.0,196.0
12,2022-02-18,Liverpool,169.0,,155453.0,242.0
13,2022-02-17,Liverpool,200.0,,155284.0,294.0
14,2022-02-16,Liverpool,278.0,,155084.0,294.0
15,2022-02-15,Liverpool,282.0,,154806.0,262.0
16,2022-02-14,Liverpool,318.0,,154524.0,249.0
17,2022-02-13,Liverpool,224.0,,154206.0,211.0
18,2022-02-12,Liverpool,201.0,,153982.0,223.0
19,2022-02-11,Liverpool,238.0,,153781.0,321.0
20,2022-02-10,Liverpool,289.0,,153543.0,381.0
21,2022-02-09,Liverpool,332.0,,153254.0,330.0
22,2022-02-08,Liverpool,349.0,,152922.0,435.0
23,2022-02-07,Liverpool,461.0,,152573.0,285.0
24,2022-02-06,Liverpool,298.0,,152112.0,316.0
25,2022-02-05,Liverpool,254.0,,151814.0,372.0
26,2022-02-04,Liverpool,352.0,,151560.0,506.0
27,2022-02-03,Liverpool,381.0,,151208.0,444.0
28,2022-02-02,Liverpool,481.0,,150827.0,462.0
29,2022-02-01,Liverpool,457.0,,150346.0,798.0
30,2022-01-31,Liverpool,521.0,,149889.0,10521.0
31,2022-01-30,Liverpool,444.0,,149368.0,344.0
32,2022-01-29,Liverpool,349.0,,148924.0,355.0
33,2022-01-28,Liverpool,394.0,,148575.0,417.0
34,2022-01-27,Liverpool,490.0,,148181.0,434.0
35,2022-01-26,Liverpool,512.0,,147691.0,522.0
36,2022-01-25,Liverpool,527.0,,147179.0,506.0
37,2022-01-24,Liverpool,727.0,,146652.0,390.0
38,2022-01-23,Liverpool,499.0,,145925.0,407.0
39,2022-01-22,Liverpool,468.0,,145426.0,457.0
40,2022-01-21,Liverpool,492.0,,144958.0,534.0
41,2022-01-20,Liverpool,533.0,,144466.0,599.0
42,2022-01-19,Liverpool,642.0,,143933.0,598.0
43,2022-01-18,Liverpool,688.0,,143291.0,570.0
44,2022-01-17,Liverpool,746.0,,142603.0,496.0
45,2022-01-16,Liverpool,578.0,,141857.0,410.0
46,2022-01-15,Liverpool,474.0,,141279.0,631.0
47,2022-01-14,Liverpool,554.0,,140805.0,655.0
48,2022-01-13,Liverpool,689.0,,140251.0,878.0
49,2022-01-12,Liverpool,707.0,,139562.0,1230.0
50,2022-01-11,Liverpool,908.0,,138855.0,856.0
51,2022-01-10,Liverpool,1132.0,,137947.0,1566.0
52,2022-01-09,Liverpool,752.0,,136815.0,1436.0
53,2022-01-08,Liverpool,774.0,,136063.0,1008.0
54,2022-01-07,Liverpool,1146.0,,135289.0,1581.0
55,2022-01-06,Liverpool,1736.0,,134143.0,1773.0
56,2022-01-05,Liverpool,2286.0,,132407.0,1295.0
57,2022-01-04,Liverpool,2492.0,,130121.0,1616.0
58,2022-01-03,Liverpool,2351.0,,127629.0,1825.0
59,2022-01-02,Liverpool,1789.0,,125278.0,1765.0
60,2022-01-01,Liverpool,1168.0,,123489.0,1952.0
61,2021-12-31,Liverpool,1879.0,,122321.0,1357.0
62,2021-12-30,Liverpool,2439.0,,120442.0,1623.0
63,2021-12-29,Liverpool,2806.0,,118003.0,1640.0
64,2021-12-28,Liverpool,2303.0,,115197.0,1231.0
65,2021-12-27,Liverpool,1961.0,,112894.0,1085.0
66,2021-12-26,Liverpool,1109.0,,110933.0,1119.0
67,2021-12-25,Liverpool,694.0,,109824.0,864.0
68,2021-12-24,Liverpool,1274.0,,109130.0,1054.0
69,2021-12-23,Liverpool,1438.0,,107856.0,951.0
70,2021-12-22,Liverpool,1376.0,,106418.0,911.0
71,2021-12-21,Liverpool,1269.0,,105042.0,540.0
72,2021-12-20,Liverpool,1018.0,,103773.0,581.0
