,Date,CityName,AreaName,DailyCases,CummulativeCases
0,2/12/2022,London,United Kingdom,46025,18266015
1,2/11/2022,London,United Kingdom,58899,18220515
2,2/10/2022,London,United Kingdom,66638,18162199
3,2/9/2022,London,United Kingdom,68214,18000119
4,2/8/2022,London,United Kingdom,66183,17932803
5,2/7/2022,London,United Kingdom,57623,17866632
6,2/6/2022,London,United Kingdom,57337,17809459
7,2/5/2022,London,United Kingdom,63493,17752892
8,2/4/2022,London,United Kingdom,84053,17689885
9,2/3/2022,London,United Kingdom,88171,17607832
10,2/2/2022,London,United Kingdom,92594,17519708
11,2/1/2022,London,United Kingdom,112458,17428345
12,1/31/2022,London,United Kingdom,92368,17315893
13,1/30/2022,London,United Kingdom,69007,16478467
14,1/29/2022,London,United Kingdom,76069,16409459
15,1/28/2022,London,United Kingdom,89176,16333980
16,1/27/2022,London,United Kingdom,96871,16245474
17,1/26/2022,London,United Kingdom,102292,16149319
18,1/25/2022,London,United Kingdom,94326,16047716
19,1/24/2022,London,United Kingdom,88447,15953685
20,1/23/2022,London,United Kingdom,78317,15866316
21,1/22/2022,London,United Kingdom,80263,15787937
22,1/21/2022,London,United Kingdom,95787,15709059
23,1/20/2022,London,United Kingdom,107364,15613283
24,1/19/2022,London,United Kingdom,108069,15506750
25,1/18/2022,London,United Kingdom,94432,15399300
26,1/17/2022,London,United Kingdom,84429,15305410
27,1/16/2022,London,United Kingdom,75041,15221366
28,1/15/2022,London,United Kingdom,81713,15147099
29,1/14/2022,London,United Kingdom,99652,15066395
30,1/13/2022,London,United Kingdom,109133,14967817
31,1/12/2022,London,United Kingdom,129587,14862138
32,1/11/2022,London,United Kingdom,120821,14732594
33,1/10/2022,London,United Kingdom,142224,14617314
34,1/9/2022,London,United Kingdom,141472,14475192
35,1/8/2022,London,United Kingdom,146390,14333794
36,1/7/2022,London,United Kingdom,178250,14193228
37,1/6/2022,London,United Kingdom,179756,14015065
38,1/5/2022,London,United Kingdom,194747,13835334
39,1/4/2022,London,United Kingdom,218724,13641520
40,1/3/2022,London,United Kingdom,157758,13422815
41,1/2/2022,London,United Kingdom,151663,13266431
42,1/1/2022,London,United Kingdom,179637,13117469
43,12/31/2021,London,United Kingdom,189846,12937886
44,12/30/2021,London,United Kingdom,189213,12748050
45,12/29/2021,London,United Kingdom,183037,12559926
46,12/28/2021,London,United Kingdom,138831,12377822
47,12/27/2021,London,United Kingdom,109077,12239797
48,12/26/2021,London,United Kingdom,119923,12132098
49,12/25/2021,London,United Kingdom,121880,12013153
50,12/24/2021,London,United Kingdom,122186,11891292
51,12/23/2021,London,United Kingdom,119789,11769921
52,12/22/2021,London,United Kingdom,109655,11647473
53,12/21/2021,London,United Kingdom,90629,11542143
54,12/20/2021,London,United Kingdom,91743,11453121
55,12/19/2021,London,United Kingdom,82886,11361387
56,12/18/2021,London,United Kingdom,90418,11279428
57,12/17/2021,London,United Kingdom,93045,11190354
58,12/16/2021,London,United Kingdom,88376,11097851
59,12/15/2021,London,United Kingdom,78610,11010286
60,12/14/2021,London,United Kingdom,59610,10932545
