,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Manchester,,,,187.0
1,2022-03-01,Manchester,115.0,115.0,177304.0,180.0
2,2022-02-28,Manchester,174.0,65.0,177189.0,360.0
3,2022-02-27,Manchester,147.0,5.0,177015.0,0.0
4,2022-02-26,Manchester,86.0,0.0,176868.0,0.0
5,2022-02-25,Manchester,111.0,1.0,176782.0,141.0
6,2022-02-24,Manchester,134.0,1.0,176671.0,184.0
7,2022-02-23,Manchester,167.0,,176537.0,174.0
8,2022-02-22,Manchester,176.0,,176370.0,168.0
9,2022-02-21,Manchester,193.0,,176194.0,190.0
10,2022-02-20,Manchester,160.0,,176001.0,124.0
11,2022-02-19,Manchester,133.0,,175841.0,211.0
12,2022-02-18,Manchester,185.0,,175708.0,172.0
13,2022-02-17,Manchester,188.0,,175523.0,255.0
14,2022-02-16,Manchester,237.0,,175335.0,295.0
15,2022-02-15,Manchester,249.0,,175098.0,229.0
16,2022-02-14,Manchester,275.0,,174849.0,162.0
17,2022-02-13,Manchester,181.0,,174574.0,168.0
18,2022-02-12,Manchester,150.0,,174393.0,241.0
19,2022-02-11,Manchester,194.0,,174243.0,278.0
20,2022-02-10,Manchester,261.0,,174049.0,306.0
21,2022-02-09,Manchester,300.0,,173788.0,393.0
22,2022-02-08,Manchester,347.0,,173488.0,334.0
23,2022-02-07,Manchester,402.0,,173141.0,237.0
24,2022-02-06,Manchester,287.0,,172739.0,297.0
25,2022-02-05,Manchester,210.0,,172452.0,390.0
26,2022-02-04,Manchester,336.0,,172242.0,442.0
27,2022-02-03,Manchester,377.0,,171906.0,423.0
28,2022-02-02,Manchester,440.0,,171529.0,469.0
29,2022-02-01,Manchester,441.0,,171089.0,709.0
30,2022-01-31,Manchester,520.0,,170648.0,12108.0
31,2022-01-30,Manchester,446.0,,170128.0,331.0
32,2022-01-29,Manchester,350.0,,169682.0,419.0
33,2022-01-28,Manchester,443.0,,169332.0,534.0
34,2022-01-27,Manchester,542.0,,168889.0,571.0
35,2022-01-26,Manchester,656.0,,168347.0,607.0
36,2022-01-25,Manchester,679.0,,167691.0,575.0
37,2022-01-24,Manchester,755.0,,167012.0,545.0
38,2022-01-23,Manchester,645.0,,166257.0,437.0
39,2022-01-22,Manchester,500.0,,165612.0,588.0
40,2022-01-21,Manchester,562.0,,165112.0,705.0
41,2022-01-20,Manchester,693.0,,164550.0,818.0
42,2022-01-19,Manchester,862.0,,163857.0,733.0
43,2022-01-18,Manchester,827.0,,162995.0,660.0
44,2022-01-17,Manchester,977.0,,162168.0,591.0
45,2022-01-16,Manchester,710.0,,161191.0,577.0
46,2022-01-15,Manchester,567.0,,160481.0,680.0
47,2022-01-14,Manchester,676.0,,159914.0,1004.0
48,2022-01-13,Manchester,819.0,,159238.0,917.0
49,2022-01-12,Manchester,956.0,,158419.0,1346.0
50,2022-01-11,Manchester,1025.0,,157463.0,1079.0
51,2022-01-10,Manchester,1254.0,,156438.0,1479.0
52,2022-01-09,Manchester,846.0,,155184.0,1259.0
53,2022-01-08,Manchester,855.0,,154338.0,1722.0
54,2022-01-07,Manchester,1177.0,,153483.0,1461.0
55,2022-01-06,Manchester,1797.0,,152306.0,1541.0
56,2022-01-05,Manchester,2287.0,,150509.0,1229.0
57,2022-01-04,Manchester,2609.0,,148222.0,1816.0
58,2022-01-03,Manchester,2029.0,,145613.0,1352.0
59,2022-01-02,Manchester,1606.0,,143584.0,1012.0
60,2022-01-01,Manchester,1114.0,,141978.0,1883.0
61,2021-12-31,Manchester,1651.0,,140864.0,1536.0
62,2021-12-30,Manchester,2176.0,,139213.0,1754.0
63,2021-12-29,Manchester,2609.0,,137037.0,2083.0
64,2021-12-28,Manchester,1981.0,,134428.0,1677.0
65,2021-12-27,Manchester,1929.0,,132447.0,999.0
66,2021-12-26,Manchester,1221.0,,130518.0,1056.0
67,2021-12-25,Manchester,732.0,,129297.0,1597.0
68,2021-12-24,Manchester,1695.0,,128565.0,2084.0
69,2021-12-23,Manchester,2028.0,,126870.0,1251.0
70,2021-12-22,Manchester,2083.0,,124842.0,1142.0
71,2021-12-21,Manchester,2008.0,,122759.0,859.0
72,2021-12-20,Manchester,1742.0,,120751.0,881.0
73,2021-12-19,Manchester,1113.0,,119009.0,725.0
74,2021-12-18,Manchester,1128.0,,117896.0,1204.0
75,2021-12-17,Manchester,1195.0,,116768.0,816.0
76,2021-12-16,Manchester,1342.0,,115573.0,771.0
77,2021-12-15,Manchester,1291.0,,114231.0,739.0
78,2021-12-14,Manchester,1054.0,,112940.0,582.0
79,2021-12-13,Manchester,858.0,,111886.0,250.0
80,2021-12-12,Manchester,445.0,,111028.0,293.0
81,2021-12-11,Manchester,384.0,,110583.0,534.0
82,2021-12-10,Manchester,368.0,,110199.0,366.0
83,2021-12-09,Manchester,405.0,,109831.0,310.0
84,2021-12-08,Manchester,460.0,,109426.0,372.0
85,2021-12-07,Manchester,402.0,,108966.0,297.0
86,2021-12-06,Manchester,438.0,,108564.0,296.0
87,2021-12-05,Manchester,254.0,,108126.0,271.0
88,2021-12-04,Manchester,230.0,,107872.0,208.0
89,2021-12-03,Manchester,293.0,,107642.0,322.0
90,2021-12-02,Manchester,305.0,,107349.0,325.0
91,2021-12-01,Manchester,351.0,,107044.0,223.0
92,2021-11-30,Manchester,324.0,,106693.0,188.0
93,2021-11-29,Manchester,313.0,,106369.0,214.0
94,2021-11-28,Manchester,185.0,,106056.0,245.0
95,2021-11-27,Manchester,200.0,,105871.0,268.0
96,2021-11-26,Manchester,232.0,,105671.0,337.0
97,2021-11-25,Manchester,265.0,,105439.0,248.0
98,2021-11-24,Manchester,289.0,,105174.0,292.0
99,2021-11-23,Manchester,312.0,,104885.0,263.0
100,2021-11-22,Manchester,325.0,,104573.0,192.0
101,2021-11-21,Manchester,201.0,,104248.0,242.0
102,2021-11-20,Manchester,188.0,,104047.0,310.0
103,2021-11-19,Manchester,267.0,,103859.0,251.0
104,2021-11-18,Manchester,308.0,,103592.0,239.0
105,2021-11-17,Manchester,288.0,,103284.0,268.0
106,2021-11-16,Manchester,297.0,,102996.0,217.0
107,2021-11-15,Manchester,300.0,,102699.0,198.0
108,2021-11-14,Manchester,194.0,,102399.0,198.0
109,2021-11-13,Manchester,199.0,,102205.0,294.0
110,2021-11-12,Manchester,244.0,,102006.0,190.0
111,2021-11-11,Manchester,268.0,,101762.0,252.0
112,2021-11-10,Manchester,225.0,,101494.0,298.0
113,2021-11-09,Manchester,295.0,,101269.0,178.0
114,2021-11-08,Manchester,252.0,,100974.0,199.0
115,2021-11-07,Manchester,188.0,,100722.0,128.0
116,2021-11-06,Manchester,180.0,,100534.0,286.0
117,2021-11-05,Manchester,191.0,,100354.0,182.0
118,2021-11-04,Manchester,221.0,,100163.0,178.0
119,2021-11-03,Manchester,226.0,,99942.0,316.0
120,2021-11-02,Manchester,220.0,,99716.0,238.0
121,2021-11-01,Manchester,290.0,,99496.0,228.0
122,2021-10-31,Manchester,263.0,,99206.0,209.0
123,2021-10-30,Manchester,188.0,,98943.0,208.0
124,2021-10-29,Manchester,253.0,,98755.0,276.0
125,2021-10-28,Manchester,243.0,,98502.0,221.0
126,2021-10-27,Manchester,234.0,,98259.0,263.0
127,2021-10-26,Manchester,235.0,,98025.0,175.0
128,2021-10-25,Manchester,259.0,,97790.0,198.0
129,2021-10-24,Manchester,175.0,,97531.0,171.0
130,2021-10-23,Manchester,177.0,,97356.0,271.0
131,2021-10-22,Manchester,226.0,,97179.0,270.0
132,2021-10-21,Manchester,245.0,,96953.0,268.0
133,2021-10-20,Manchester,293.0,,96708.0,316.0
134,2021-10-19,Manchester,292.0,,96415.0,237.0
135,2021-10-18,Manchester,325.0,,96123.0,244.0
136,2021-10-17,Manchester,236.0,,95798.0,232.0
137,2021-10-16,Manchester,197.0,,95562.0,264.0
138,2021-10-15,Manchester,245.0,,95365.0,256.0
139,2021-10-14,Manchester,275.0,,95120.0,226.0
140,2021-10-13,Manchester,286.0,,94845.0,285.0
141,2021-10-12,Manchester,277.0,,94559.0,264.0
142,2021-10-11,Manchester,302.0,,94282.0,207.0
143,2021-10-10,Manchester,211.0,,93980.0,204.0
144,2021-10-09,Manchester,201.0,,93769.0,206.0
145,2021-10-08,Manchester,200.0,,93568.0,200.0
146,2021-10-07,Manchester,247.0,,93368.0,238.0
147,2021-10-06,Manchester,223.0,,93121.0,243.0
148,2021-10-05,Manchester,238.0,,92898.0,212.0
149,2021-10-04,Manchester,266.0,,92660.0,146.0
150,2021-10-03,Manchester,185.0,,92394.0,157.0
151,2021-10-02,Manchester,140.0,,92209.0,211.0
152,2021-10-01,Manchester,156.0,,92069.0,201.0
153,2021-09-30,Manchester,193.0,,91913.0,198.0
154,2021-09-29,Manchester,181.0,,91720.0,197.0
155,2021-09-28,Manchester,216.0,,91539.0,153.0
156,2021-09-27,Manchester,250.0,,91323.0,123.0
157,2021-09-26,Manchester,135.0,,91073.0,165.0
158,2021-09-25,Manchester,111.0,,90938.0,161.0
159,2021-09-24,Manchester,185.0,,90827.0,192.0
160,2021-09-23,Manchester,180.0,,90642.0,197.0
161,2021-09-22,Manchester,177.0,,90462.0,168.0
162,2021-09-21,Manchester,180.0,,90285.0,132.0
163,2021-09-20,Manchester,227.0,,90105.0,169.0
164,2021-09-19,Manchester,142.0,,89878.0,140.0
165,2021-09-18,Manchester,145.0,,89736.0,203.0
166,2021-09-17,Manchester,149.0,,89591.0,193.0
167,2021-09-16,Manchester,201.0,,89442.0,182.0
168,2021-09-15,Manchester,157.0,,89241.0,159.0
169,2021-09-14,Manchester,193.0,,89084.0,157.0
170,2021-09-13,Manchester,188.0,,88891.0,172.0
171,2021-09-12,Manchester,148.0,,88703.0,165.0
172,2021-09-11,Manchester,135.0,,88555.0,242.0
173,2021-09-10,Manchester,190.0,,88420.0,230.0
174,2021-09-09,Manchester,239.0,,88230.0,233.0
175,2021-09-08,Manchester,263.0,,87991.0,294.0
176,2021-09-07,Manchester,247.0,,87728.0,250.0
177,2021-09-06,Manchester,310.0,,87481.0,201.0
178,2021-09-05,Manchester,224.0,,87171.0,223.0
179,2021-09-04,Manchester,205.0,,86947.0,247.0
180,2021-09-03,Manchester,253.0,,86742.0,316.0
181,2021-09-02,Manchester,303.0,,86489.0,273.0
