,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Newcastle upon Tyne,,,,159.0
1,2022-03-01,Newcastle upon Tyne,81.0,81.0,94786.0,103.0
2,2022-02-28,Newcastle upon Tyne,145.0,77.0,94705.0,270.0
3,2022-02-27,Newcastle upon Tyne,97.0,1.0,94560.0,0.0
4,2022-02-26,Newcastle upon Tyne,74.0,,94463.0,0.0
5,2022-02-25,Newcastle upon Tyne,94.0,,94389.0,91.0
6,2022-02-24,Newcastle upon Tyne,95.0,,94295.0,106.0
7,2022-02-23,Newcastle upon Tyne,106.0,,94200.0,110.0
8,2022-02-22,Newcastle upon Tyne,96.0,,94094.0,104.0
9,2022-02-21,Newcastle upon Tyne,127.0,,93998.0,111.0
10,2022-02-20,Newcastle upon Tyne,97.0,,93871.0,109.0
11,2022-02-19,Newcastle upon Tyne,93.0,,93774.0,149.0
12,2022-02-18,Newcastle upon Tyne,136.0,,93681.0,178.0
13,2022-02-17,Newcastle upon Tyne,172.0,,93545.0,210.0
14,2022-02-16,Newcastle upon Tyne,196.0,,93373.0,188.0
15,2022-02-15,Newcastle upon Tyne,185.0,,93177.0,210.0
16,2022-02-14,Newcastle upon Tyne,234.0,,92992.0,142.0
17,2022-02-13,Newcastle upon Tyne,155.0,,92758.0,150.0
18,2022-02-12,Newcastle upon Tyne,136.0,,92603.0,186.0
19,2022-02-11,Newcastle upon Tyne,182.0,,92467.0,209.0
20,2022-02-10,Newcastle upon Tyne,194.0,,92285.0,235.0
21,2022-02-09,Newcastle upon Tyne,230.0,,92091.0,254.0
22,2022-02-08,Newcastle upon Tyne,230.0,,91861.0,275.0
23,2022-02-07,Newcastle upon Tyne,304.0,,91631.0,196.0
24,2022-02-06,Newcastle upon Tyne,215.0,,91327.0,209.0
25,2022-02-05,Newcastle upon Tyne,184.0,,91112.0,241.0
26,2022-02-04,Newcastle upon Tyne,216.0,,90928.0,326.0
27,2022-02-03,Newcastle upon Tyne,291.0,,90712.0,361.0
28,2022-02-02,Newcastle upon Tyne,338.0,,90421.0,379.0
29,2022-02-01,Newcastle upon Tyne,365.0,,90083.0,490.0
30,2022-01-31,Newcastle upon Tyne,392.0,,89718.0,5919.0
31,2022-01-30,Newcastle upon Tyne,319.0,,89326.0,232.0
32,2022-01-29,Newcastle upon Tyne,232.0,,89007.0,327.0
33,2022-01-28,Newcastle upon Tyne,321.0,,88775.0,359.0
34,2022-01-27,Newcastle upon Tyne,413.0,,88454.0,413.0
35,2022-01-26,Newcastle upon Tyne,459.0,,88041.0,449.0
36,2022-01-25,Newcastle upon Tyne,503.0,,87582.0,437.0
37,2022-01-24,Newcastle upon Tyne,537.0,,87079.0,385.0
38,2022-01-23,Newcastle upon Tyne,442.0,,86542.0,337.0
39,2022-01-22,Newcastle upon Tyne,380.0,,86100.0,391.0
40,2022-01-21,Newcastle upon Tyne,408.0,,85720.0,531.0
41,2022-01-20,Newcastle upon Tyne,514.0,,85312.0,587.0
42,2022-01-19,Newcastle upon Tyne,676.0,,84798.0,607.0
43,2022-01-18,Newcastle upon Tyne,644.0,,84122.0,614.0
44,2022-01-17,Newcastle upon Tyne,771.0,,83478.0,492.0
45,2022-01-16,Newcastle upon Tyne,603.0,,82707.0,511.0
46,2022-01-15,Newcastle upon Tyne,501.0,,82104.0,556.0
47,2022-01-14,Newcastle upon Tyne,602.0,,81603.0,675.0
48,2022-01-13,Newcastle upon Tyne,642.0,,81001.0,767.0
49,2022-01-12,Newcastle upon Tyne,735.0,,80359.0,1081.0
50,2022-01-11,Newcastle upon Tyne,880.0,,79624.0,733.0
51,2022-01-10,Newcastle upon Tyne,861.0,,78744.0,679.0
52,2022-01-09,Newcastle upon Tyne,592.0,,77883.0,832.0
53,2022-01-08,Newcastle upon Tyne,655.0,,77291.0,829.0
54,2022-01-07,Newcastle upon Tyne,909.0,,76636.0,998.0
55,2022-01-06,Newcastle upon Tyne,1139.0,,75727.0,1036.0
56,2022-01-05,Newcastle upon Tyne,1367.0,,74588.0,912.0
57,2022-01-04,Newcastle upon Tyne,1554.0,,73221.0,1138.0
58,2022-01-03,Newcastle upon Tyne,1480.0,,71667.0,725.0
59,2022-01-02,Newcastle upon Tyne,970.0,,70187.0,676.0
60,2022-01-01,Newcastle upon Tyne,606.0,,69217.0,1024.0
61,2021-12-31,Newcastle upon Tyne,931.0,,68611.0,682.0
62,2021-12-30,Newcastle upon Tyne,1015.0,,67680.0,631.0
63,2021-12-29,Newcastle upon Tyne,1073.0,,66665.0,601.0
64,2021-12-28,Newcastle upon Tyne,860.0,,65592.0,518.0
65,2021-12-27,Newcastle upon Tyne,698.0,,64732.0,359.0
66,2021-12-26,Newcastle upon Tyne,509.0,,64034.0,398.0
67,2021-12-25,Newcastle upon Tyne,250.0,,63525.0,433.0
68,2021-12-24,Newcastle upon Tyne,512.0,,63275.0,384.0
69,2021-12-23,Newcastle upon Tyne,607.0,,62763.0,381.0
70,2021-12-22,Newcastle upon Tyne,564.0,,62156.0,353.0
71,2021-12-21,Newcastle upon Tyne,477.0,,61592.0,287.0
72,2021-12-20,Newcastle upon Tyne,416.0,,61115.0,270.0
73,2021-12-19,Newcastle upon Tyne,305.0,,60699.0,261.0
74,2021-12-18,Newcastle upon Tyne,292.0,,60394.0,213.0
75,2021-12-17,Newcastle upon Tyne,285.0,,60102.0,329.0
76,2021-12-16,Newcastle upon Tyne,320.0,,59817.0,244.0
77,2021-12-15,Newcastle upon Tyne,292.0,,59497.0,212.0
78,2021-12-14,Newcastle upon Tyne,273.0,,59205.0,148.0
79,2021-12-13,Newcastle upon Tyne,246.0,,58932.0,142.0
80,2021-12-12,Newcastle upon Tyne,155.0,,58686.0,171.0
81,2021-12-11,Newcastle upon Tyne,159.0,,58531.0,221.0
82,2021-12-10,Newcastle upon Tyne,179.0,,58372.0,274.0
83,2021-12-09,Newcastle upon Tyne,208.0,,58193.0,164.0
84,2021-12-08,Newcastle upon Tyne,226.0,,57985.0,178.0
85,2021-12-07,Newcastle upon Tyne,195.0,,57759.0,175.0
86,2021-12-06,Newcastle upon Tyne,214.0,,57564.0,95.0
87,2021-12-05,Newcastle upon Tyne,158.0,,57350.0,202.0
88,2021-12-04,Newcastle upon Tyne,121.0,,57192.0,184.0
89,2021-12-03,Newcastle upon Tyne,171.0,,57071.0,175.0
90,2021-12-02,Newcastle upon Tyne,194.0,,56900.0,125.0
91,2021-12-01,Newcastle upon Tyne,201.0,,56706.0,232.0
92,2021-11-30,Newcastle upon Tyne,210.0,,56505.0,194.0
93,2021-11-29,Newcastle upon Tyne,221.0,,56295.0,173.0
94,2021-11-28,Newcastle upon Tyne,175.0,,56074.0,137.0
95,2021-11-27,Newcastle upon Tyne,110.0,,55899.0,132.0
96,2021-11-26,Newcastle upon Tyne,139.0,,55789.0,200.0
97,2021-11-25,Newcastle upon Tyne,171.0,,55650.0,125.0
98,2021-11-24,Newcastle upon Tyne,179.0,,55479.0,200.0
99,2021-11-23,Newcastle upon Tyne,211.0,,55300.0,248.0
100,2021-11-22,Newcastle upon Tyne,230.0,,55089.0,181.0
101,2021-11-21,Newcastle upon Tyne,121.0,,54859.0,112.0
