,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Southampton,,,,127.0
1,2022-03-01,Southampton,65.0,65.0,70291.0,114.0
2,2022-02-28,Southampton,135.0,64.0,70226.0,290.0
3,2022-02-27,Southampton,93.0,0.0,70091.0,0.0
4,2022-02-26,Southampton,95.0,0.0,69998.0,0.0
5,2022-02-25,Southampton,94.0,-1.0,69903.0,110.0
6,2022-02-24,Southampton,95.0,0.0,69809.0,168.0
7,2022-02-23,Southampton,155.0,0.0,69714.0,161.0
8,2022-02-22,Southampton,137.0,0.0,69559.0,116.0
9,2022-02-21,Southampton,161.0,0.0,69422.0,139.0
10,2022-02-20,Southampton,137.0,0.0,69261.0,122.0
11,2022-02-19,Southampton,133.0,0.0,69124.0,134.0
12,2022-02-18,Southampton,113.0,-1.0,68991.0,197.0
13,2022-02-17,Southampton,179.0,,68878.0,248.0
14,2022-02-16,Southampton,235.0,,68699.0,270.0
15,2022-02-15,Southampton,234.0,,68464.0,176.0
16,2022-02-14,Southampton,239.0,,68230.0,169.0
17,2022-02-13,Southampton,149.0,,67991.0,177.0
18,2022-02-12,Southampton,168.0,,67842.0,184.0
19,2022-02-11,Southampton,199.0,,67674.0,254.0
20,2022-02-10,Southampton,198.0,,67475.0,267.0
21,2022-02-09,Southampton,279.0,,67277.0,364.0
22,2022-02-08,Southampton,324.0,,66998.0,271.0
23,2022-02-07,Southampton,310.0,,66674.0,251.0
24,2022-02-06,Southampton,261.0,,66364.0,252.0
25,2022-02-05,Southampton,232.0,,66103.0,266.0
26,2022-02-04,Southampton,244.0,,65871.0,346.0
27,2022-02-03,Southampton,323.0,,65627.0,459.0
28,2022-02-02,Southampton,414.0,,65304.0,387.0
29,2022-02-01,Southampton,418.0,,64890.0,490.0
30,2022-01-31,Southampton,418.0,,64472.0,3345.0
31,2022-01-30,Southampton,304.0,,64054.0,277.0
32,2022-01-29,Southampton,298.0,,63750.0,309.0
33,2022-01-28,Southampton,324.0,,63452.0,423.0
34,2022-01-27,Southampton,446.0,,63128.0,468.0
35,2022-01-26,Southampton,485.0,,62682.0,405.0
36,2022-01-25,Southampton,465.0,,62197.0,418.0
37,2022-01-24,Southampton,550.0,,61732.0,380.0
38,2022-01-23,Southampton,419.0,,61182.0,357.0
39,2022-01-22,Southampton,345.0,,60763.0,371.0
40,2022-01-21,Southampton,413.0,,60418.0,420.0
41,2022-01-20,Southampton,441.0,,60005.0,452.0
42,2022-01-19,Southampton,490.0,,59564.0,498.0
43,2022-01-18,Southampton,530.0,,59074.0,373.0
44,2022-01-17,Southampton,523.0,,58544.0,339.0
45,2022-01-16,Southampton,396.0,,58021.0,295.0
46,2022-01-15,Southampton,296.0,,57625.0,327.0
47,2022-01-14,Southampton,323.0,,57329.0,331.0
48,2022-01-13,Southampton,335.0,,57006.0,355.0
49,2022-01-12,Southampton,395.0,,56671.0,432.0
50,2022-01-11,Southampton,425.0,,56276.0,325.0
51,2022-01-10,Southampton,423.0,,55851.0,300.0
52,2022-01-09,Southampton,306.0,,55428.0,371.0
53,2022-01-08,Southampton,285.0,,55122.0,561.0
54,2022-01-07,Southampton,380.0,,54837.0,537.0
55,2022-01-06,Southampton,523.0,,54457.0,550.0
56,2022-01-05,Southampton,628.0,,53934.0,523.0
57,2022-01-04,Southampton,836.0,,53306.0,506.0
58,2022-01-03,Southampton,608.0,,52470.0,329.0
59,2022-01-02,Southampton,483.0,,51862.0,449.0
60,2022-01-01,Southampton,383.0,,51379.0,509.0
61,2021-12-31,Southampton,492.0,,50996.0,694.0
62,2021-12-30,Southampton,664.0,,50504.0,523.0
63,2021-12-29,Southampton,782.0,,49840.0,606.0
64,2021-12-28,Southampton,563.0,,49058.0,404.0
65,2021-12-27,Southampton,581.0,,48495.0,189.0
66,2021-12-26,Southampton,404.0,,47914.0,483.0
67,2021-12-25,Southampton,234.0,,47510.0,520.0
68,2021-12-24,Southampton,483.0,,47276.0,399.0
69,2021-12-23,Southampton,525.0,,46793.0,466.0
70,2021-12-22,Southampton,525.0,,46268.0,328.0
71,2021-12-21,Southampton,507.0,,45743.0,389.0
72,2021-12-20,Southampton,429.0,,45236.0,285.0
73,2021-12-19,Southampton,328.0,,44807.0,363.0
74,2021-12-18,Southampton,349.0,,44479.0,366.0
75,2021-12-17,Southampton,383.0,,44130.0,388.0
76,2021-12-16,Southampton,433.0,,43747.0,289.0
77,2021-12-15,Southampton,385.0,,43314.0,322.0
78,2021-12-14,Southampton,390.0,,42929.0,228.0
79,2021-12-13,Southampton,357.0,,42539.0,239.0
80,2021-12-12,Southampton,212.0,,42182.0,183.0
81,2021-12-11,Southampton,202.0,,41970.0,211.0
82,2021-12-10,Southampton,209.0,,41768.0,206.0
83,2021-12-09,Southampton,218.0,,41559.0,282.0
84,2021-12-08,Southampton,232.0,,41341.0,161.0
85,2021-12-07,Southampton,236.0,,41109.0,206.0
86,2021-12-06,Southampton,221.0,,40873.0,137.0
87,2021-12-05,Southampton,150.0,,40652.0,210.0
88,2021-12-04,Southampton,153.0,,40502.0,182.0
