,Date,CityName,DailyCasesBySpecimenDate,DailyCasesChangeBySpecimenDate,CummulativeCasesBySpecimenDate,DailyCasesByPublishDate
0,2022-03-02,Wolverhampton,,,,73.0
1,2022-03-01,Wolverhampton,57.0,57.0,80676.0,77.0
2,2022-02-28,Wolverhampton,70.0,17.0,80619.0,188.0
3,2022-02-27,Wolverhampton,65.0,-2.0,80549.0,0.0
4,2022-02-26,Wolverhampton,51.0,1.0,80484.0,0.0
5,2022-02-25,Wolverhampton,57.0,,80433.0,56.0
6,2022-02-24,Wolverhampton,61.0,,80376.0,72.0
7,2022-02-23,Wolverhampton,69.0,,80315.0,72.0
8,2022-02-22,Wolverhampton,67.0,,80246.0,71.0
9,2022-02-21,Wolverhampton,65.0,,80179.0,78.0
10,2022-02-20,Wolverhampton,85.0,,80114.0,67.0
11,2022-02-19,Wolverhampton,57.0,,80029.0,75.0
12,2022-02-18,Wolverhampton,76.0,,79972.0,111.0
13,2022-02-17,Wolverhampton,96.0,,79896.0,135.0
14,2022-02-16,Wolverhampton,109.0,,79800.0,125.0
15,2022-02-15,Wolverhampton,132.0,,79691.0,96.0
16,2022-02-14,Wolverhampton,121.0,,79559.0,121.0
17,2022-02-13,Wolverhampton,116.0,,79438.0,122.0
18,2022-02-12,Wolverhampton,79.0,,79322.0,112.0
19,2022-02-11,Wolverhampton,143.0,,79243.0,151.0
20,2022-02-10,Wolverhampton,118.0,,79100.0,151.0
21,2022-02-09,Wolverhampton,175.0,,78982.0,189.0
22,2022-02-08,Wolverhampton,177.0,,78807.0,194.0
23,2022-02-07,Wolverhampton,210.0,,78630.0,195.0
24,2022-02-06,Wolverhampton,169.0,,78420.0,194.0
25,2022-02-05,Wolverhampton,159.0,,78251.0,254.0
26,2022-02-04,Wolverhampton,201.0,,78092.0,315.0
27,2022-02-03,Wolverhampton,282.0,,77891.0,277.0
28,2022-02-02,Wolverhampton,305.0,,77609.0,343.0
29,2022-02-01,Wolverhampton,307.0,,77304.0,451.0
30,2022-01-31,Wolverhampton,408.0,,76997.0,5094.0
31,2022-01-30,Wolverhampton,311.0,,76589.0,222.0
32,2022-01-29,Wolverhampton,289.0,,76278.0,371.0
33,2022-01-28,Wolverhampton,260.0,,75989.0,355.0
34,2022-01-27,Wolverhampton,397.0,,75729.0,369.0
35,2022-01-26,Wolverhampton,470.0,,75332.0,417.0
36,2022-01-25,Wolverhampton,461.0,,74862.0,421.0
37,2022-01-24,Wolverhampton,554.0,,74401.0,368.0
38,2022-01-23,Wolverhampton,432.0,,73847.0,323.0
39,2022-01-22,Wolverhampton,370.0,,73415.0,384.0
40,2022-01-21,Wolverhampton,364.0,,73045.0,473.0
41,2022-01-20,Wolverhampton,531.0,,72681.0,463.0
42,2022-01-19,Wolverhampton,530.0,,72150.0,543.0
43,2022-01-18,Wolverhampton,560.0,,71620.0,444.0
44,2022-01-17,Wolverhampton,659.0,,71060.0,385.0
45,2022-01-16,Wolverhampton,486.0,,70401.0,382.0
46,2022-01-15,Wolverhampton,372.0,,69915.0,429.0
47,2022-01-14,Wolverhampton,419.0,,69543.0,449.0
48,2022-01-13,Wolverhampton,537.0,,69124.0,579.0
49,2022-01-12,Wolverhampton,584.0,,68587.0,845.0
50,2022-01-11,Wolverhampton,627.0,,68003.0,572.0
51,2022-01-10,Wolverhampton,688.0,,67376.0,747.0
52,2022-01-09,Wolverhampton,531.0,,66688.0,779.0
53,2022-01-08,Wolverhampton,527.0,,66157.0,601.0
54,2022-01-07,Wolverhampton,659.0,,65630.0,986.0
55,2022-01-06,Wolverhampton,976.0,,64971.0,1022.0
56,2022-01-05,Wolverhampton,1089.0,,63995.0,910.0
57,2022-01-04,Wolverhampton,1293.0,,62906.0,687.0
58,2022-01-03,Wolverhampton,1175.0,,61613.0,904.0
59,2022-01-02,Wolverhampton,900.0,,60438.0,416.0
60,2022-01-01,Wolverhampton,524.0,,59538.0,1110.0
61,2021-12-31,Wolverhampton,931.0,,59014.0,825.0
62,2021-12-30,Wolverhampton,1120.0,,58083.0,700.0
63,2021-12-29,Wolverhampton,1268.0,,56963.0,601.0
64,2021-12-28,Wolverhampton,940.0,,55695.0,596.0
65,2021-12-27,Wolverhampton,809.0,,54755.0,414.0
66,2021-12-26,Wolverhampton,504.0,,53946.0,374.0
67,2021-12-25,Wolverhampton,269.0,,53442.0,309.0
68,2021-12-24,Wolverhampton,482.0,,53173.0,288.0
69,2021-12-23,Wolverhampton,489.0,,52691.0,439.0
70,2021-12-22,Wolverhampton,479.0,,52202.0,266.0
71,2021-12-21,Wolverhampton,429.0,,51723.0,252.0
72,2021-12-20,Wolverhampton,366.0,,51294.0,196.0
73,2021-12-19,Wolverhampton,265.0,,50928.0,204.0
74,2021-12-18,Wolverhampton,206.0,,50663.0,228.0
75,2021-12-17,Wolverhampton,258.0,,50457.0,204.0
76,2021-12-16,Wolverhampton,245.0,,50199.0,167.0
77,2021-12-15,Wolverhampton,275.0,,49954.0,221.0
78,2021-12-14,Wolverhampton,188.0,,49679.0,190.0
79,2021-12-13,Wolverhampton,217.0,,49491.0,108.0
80,2021-12-12,Wolverhampton,137.0,,49274.0,146.0
81,2021-12-11,Wolverhampton,155.0,,49137.0,176.0
82,2021-12-10,Wolverhampton,168.0,,48982.0,227.0
83,2021-12-09,Wolverhampton,202.0,,48814.0,141.0
84,2021-12-08,Wolverhampton,188.0,,48612.0,162.0
85,2021-12-07,Wolverhampton,182.0,,48424.0,104.0
86,2021-12-06,Wolverhampton,193.0,,48242.0,155.0
87,2021-12-05,Wolverhampton,115.0,,48049.0,146.0
88,2021-12-04,Wolverhampton,122.0,,47934.0,112.0
89,2021-12-03,Wolverhampton,141.0,,47812.0,182.0
90,2021-12-02,Wolverhampton,138.0,,47671.0,115.0
91,2021-12-01,Wolverhampton,145.0,,47533.0,124.0
92,2021-11-30,Wolverhampton,149.0,,47388.0,107.0
93,2021-11-29,Wolverhampton,167.0,,47239.0,101.0
94,2021-11-28,Wolverhampton,98.0,,47072.0,115.0
95,2021-11-27,Wolverhampton,81.0,,46974.0,100.0
96,2021-11-26,Wolverhampton,112.0,,46893.0,137.0
97,2021-11-25,Wolverhampton,124.0,,46781.0,138.0
98,2021-11-24,Wolverhampton,142.0,,46657.0,133.0
99,2021-11-23,Wolverhampton,134.0,,46515.0,142.0
100,2021-11-22,Wolverhampton,156.0,,46381.0,188.0
101,2021-11-21,Wolverhampton,125.0,,46225.0,122.0
102,2021-11-20,Wolverhampton,139.0,,46100.0,89.0
103,2021-11-19,Wolverhampton,131.0,,45961.0,167.0
104,2021-11-18,Wolverhampton,141.0,,45830.0,181.0
105,2021-11-17,Wolverhampton,153.0,,45689.0,94.0
106,2021-11-16,Wolverhampton,158.0,,45536.0,112.0
107,2021-11-15,Wolverhampton,160.0,,45378.0,100.0
108,2021-11-14,Wolverhampton,112.0,,45218.0,98.0
109,2021-11-13,Wolverhampton,93.0,,45106.0,139.0
110,2021-11-12,Wolverhampton,102.0,,45013.0,95.0
111,2021-11-11,Wolverhampton,112.0,,44911.0,119.0
112,2021-11-10,Wolverhampton,115.0,,44799.0,105.0
113,2021-11-09,Wolverhampton,134.0,,44684.0,132.0
114,2021-11-08,Wolverhampton,132.0,,44550.0,81.0
115,2021-11-07,Wolverhampton,117.0,,44418.0,82.0
116,2021-11-06,Wolverhampton,88.0,,44301.0,109.0
117,2021-11-05,Wolverhampton,83.0,,44213.0,128.0
118,2021-11-04,Wolverhampton,104.0,,44130.0,96.0
119,2021-11-03,Wolverhampton,124.0,,44026.0,132.0
120,2021-11-02,Wolverhampton,105.0,,43902.0,74.0
121,2021-11-01,Wolverhampton,149.0,,43797.0,117.0
122,2021-10-31,Wolverhampton,88.0,,43648.0,153.0
123,2021-10-30,Wolverhampton,107.0,,43560.0,140.0
124,2021-10-29,Wolverhampton,149.0,,43453.0,145.0
125,2021-10-28,Wolverhampton,159.0,,43304.0,101.0
126,2021-10-27,Wolverhampton,132.0,,43145.0,146.0
127,2021-10-26,Wolverhampton,130.0,,43013.0,122.0
128,2021-10-25,Wolverhampton,151.0,,42883.0,134.0
129,2021-10-24,Wolverhampton,114.0,,42732.0,85.0
130,2021-10-23,Wolverhampton,97.0,,42618.0,127.0
131,2021-10-22,Wolverhampton,133.0,,42521.0,136.0
132,2021-10-21,Wolverhampton,140.0,,42388.0,172.0
133,2021-10-20,Wolverhampton,143.0,,42248.0,205.0
134,2021-10-19,Wolverhampton,180.0,,42105.0,117.0
135,2021-10-18,Wolverhampton,214.0,,41925.0,167.0
136,2021-10-17,Wolverhampton,133.0,,41711.0,134.0
137,2021-10-16,Wolverhampton,128.0,,41578.0,171.0
138,2021-10-15,Wolverhampton,129.0,,41450.0,152.0
139,2021-10-14,Wolverhampton,181.0,,41321.0,134.0
140,2021-10-13,Wolverhampton,158.0,,41140.0,175.0
141,2021-10-12,Wolverhampton,157.0,,40982.0,102.0
142,2021-10-11,Wolverhampton,170.0,,40825.0,99.0
143,2021-10-10,Wolverhampton,94.0,,40655.0,111.0
