,schedule,venue,teamA,teamB,teamA_score,teamB_score
0,"4:00pm, Sunday 26th July 2020.",Etihad Stadium.,Man City,Norwich,5.0,0.0
1,"8:00pm, Saturday 11th July 2020.",Amex Stadium.,Brighton,Man City,0.0,5.0
2,"6:00pm, Wednesday 8th July 2020.",Etihad Stadium.,Man City,Newcastle,5.0,0.0
3,"8:00pm, Monday 22nd June 2020.",Etihad Stadium.,Man City,Burnley,5.0,0.0
4,"4:30pm, Sunday 12th January 2020.",Villa Park,A Villa,Man City,1.0,6.0
5,"3:00pm, Saturday 7th December 2019.",Tottenham Hotspur Stadium,Tottenham,Burnley,5.0,0.0
6,"8:00pm, Friday 25th October 2019.",St. Mary's Stadium,So'ton,Leicester,0.0,9.0
7,"3:00pm, Saturday 5th October 2019.",Carrow Road,Norwich,A Villa,1.0,5.0
8,"4:30pm, Sunday 29th September 2019.",The King Power Stadium,Leicester,Newcastle,5.0,0.0
9,"3:00pm, Saturday 21st September 2019.",Etihad Stadium,Man City,Watford,8.0,0.0
10,"12:30pm, Saturday 10th August 2019.",London Stadium,West Ham,Man City,0.0,5.0
11,"4:00pm, Sunday 23rd May 2021.",Etihad Stadium,Man City,Everton,5.0,0.0
12,"2:00pm, Sunday 14th March 2021.",The King Power Stadium.,Leicester,Sheff Utd,5.0,0.0
13,"8:15pm, Tuesday 2nd February 2021.",Old Trafford.,Man Utd,So'ton,9.0,0.0
14,"8:15pm, Tuesday 26th January 2021.",The Hawthorns.,W Brom,Man City,0.0,5.0
15,"6:00pm, Tuesday 29th December 2020.",The Hawthorns.,W Brom,Leeds,0.0,5.0
16,"4:30pm, Sunday 20th December 2020.",Old Trafford.,Man Utd,Leeds,6.0,2.0
17,"12:30pm, Saturday 19th December 2020.",Selhurst Park.,C Palace,Liverpool,0.0,7.0
18,"12:00pm, Sunday 6th December 2020.",The Hawthorns.,W Brom,C Palace,1.0,5.0
19,"3:00pm, Saturday 28th November 2020.",Etihad Stadium.,Man City,Burnley,5.0,0.0
20,"4:30pm, Sunday 4th October 2020.",Old Trafford.,Man Utd,Tottenham,1.0,6.0
21,"7:15pm, Sunday 4th October 2020.",Villa Park.,A Villa,Liverpool,7.0,2.0
22,"3:00pm, Sunday 26th December 2021.",Carrow Road,Norwich,Arsenal,0.0,5.0
23,"8:00pm, Tuesday 14th December 2021.",Etihad Stadium,Man City,Leeds,7.0,0.0
24,"4:30pm, Sunday 24th October 2021.",Old Trafford,Man Utd,Liverpool,0.0,5.0
25,"12:30pm, Saturday 23rd October 2021.",Stamford Bridge,Chelsea,Norwich,7.0,0.0
26,"12:30pm, Saturday 16th October 2021.",Vicarage Road,Watford,Liverpool,0.0,5.0
27,"12:30pm, Saturday 28th August 2021.",Etihad Stadium,Man City,Arsenal,5.0,0.0
28,"3:00pm, Saturday 21st August 2021.",Etihad Stadium,Man City,Norwich,5.0,0.0
29,"12:30pm, Saturday 14th August 2021.",Old Trafford,Man Utd,Leeds,5.0,1.0
